127.0.0.1 - - [11/May/2023:21:36:56 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [11/May/2023:21:37:01 +0900] "GET /ReservationSystem/page/main.jsp HTTP/1.1" 200 960
0:0:0:0:0:0:0:1 - - [11/May/2023:21:37:01 +0900] "GET /ReservationSystem/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2023:21:37:01 +0900] "GET /ReservationSystem/css/topbar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2023:21:37:02 +0900] "GET /ReservationSystem/page/loginForm.jsp HTTP/1.1" 200 710
0:0:0:0:0:0:0:1 - - [11/May/2023:21:37:02 +0900] "GET /ReservationSystem/css/form.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2023:21:37:02 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [11/May/2023:21:37:06 +0900] "POST /ReservationSystem/process/loginProcess.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/May/2023:21:37:06 +0900] "GET /ReservationSystem/page/loginForm.jsp HTTP/1.1" 200 799
0:0:0:0:0:0:0:1 - - [11/May/2023:21:37:08 +0900] "GET /ReservationSystem/page/main.jsp HTTP/1.1" 200 853
0:0:0:0:0:0:0:1 - - [11/May/2023:21:37:10 +0900] "GET /ReservationSystem/page/review.jsp HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [11/May/2023:21:37:36 +0900] "GET /ReservationSystem/page/reserveDate.jsp?fid=1 HTTP/1.1" 200 1620
0:0:0:0:0:0:0:1 - - [11/May/2023:21:37:36 +0900] "GET /ReservationSystem/css/reserve.css HTTP/1.1" 200 670
0:0:0:0:0:0:0:1 - - [11/May/2023:21:40:31 +0900] "GET /ReservationSystem/page/main.jsp HTTP/1.1" 200 877
0:0:0:0:0:0:0:1 - - [11/May/2023:21:40:34 +0900] "GET /ReservationSystem/page/reserveDate.jsp?fid=1 HTTP/1.1" 200 1862
0:0:0:0:0:0:0:1 - - [11/May/2023:21:40:51 +0900] "GET /ReservationSystem/page/main.jsp HTTP/1.1" 200 877
0:0:0:0:0:0:0:1 - - [11/May/2023:21:40:52 +0900] "GET /ReservationSystem/page/reserveDate.jsp?fid=1 HTTP/1.1" 200 1862
0:0:0:0:0:0:0:1 - - [11/May/2023:21:44:43 +0900] "GET /ReservationSystem/page/main.jsp HTTP/1.1" 200 877
0:0:0:0:0:0:0:1 - - [11/May/2023:21:44:47 +0900] "GET /ReservationSystem/page/reserveDate.jsp?fid=1 HTTP/1.1" 200 1628
0:0:0:0:0:0:0:1 - - [11/May/2023:21:44:55 +0900] "POST /ReservationSystem/page/reserveTime.jsp?fid=1 HTTP/1.1" 200 2879
0:0:0:0:0:0:0:1 - - [11/May/2023:22:15:14 +0900] "GET /ReservationSystem/page/main.jsp HTTP/1.1" 200 984
0:0:0:0:0:0:0:1 - - [11/May/2023:22:15:16 +0900] "GET /ReservationSystem/page/loginForm.jsp HTTP/1.1" 200 710
0:0:0:0:0:0:0:1 - - [11/May/2023:22:15:22 +0900] "POST /ReservationSystem/process/loginProcess.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/May/2023:22:15:22 +0900] "GET /ReservationSystem/page/loginForm.jsp HTTP/1.1" 200 799
0:0:0:0:0:0:0:1 - - [11/May/2023:22:15:23 +0900] "GET /ReservationSystem/page/main.jsp HTTP/1.1" 200 877
0:0:0:0:0:0:0:1 - - [11/May/2023:22:15:25 +0900] "GET /ReservationSystem/page/reserveDate.jsp?fid=1 HTTP/1.1" 200 1725
0:0:0:0:0:0:0:1 - - [11/May/2023:22:22:51 +0900] "GET /ReservationSystem/page/review.jsp HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [11/May/2023:22:22:54 +0900] "GET /ReservationSystem/page/history.jsp?page=1 HTTP/1.1" 200 3288
0:0:0:0:0:0:0:1 - - [11/May/2023:22:22:54 +0900] "GET /ReservationSystem/css/history.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2023:22:22:54 +0900] "GET /ReservationSystem/css/paging.css HTTP/1.1" 304 -
